Field Name,Field Type,Options,Description
Name,Single line text,,Full name (PRIMARY FIELD)
Phone,Phone number,,Primary phone for matching calls/texts
Phone 2,Phone number,,Secondary number
Email,Email,,
Photo,Attachment,,Profile photo
Background,Long text,,"Where they came from, what shaped them"
Current Chapter,Single select,"New Parent, Empty Nester, Career Builder, Entrepreneur, Retiring, Starting Over, Building Wealth, Health Journey, Newlywed, Single Life, Student",Life stage they're in
What They're Building,Long text,,"Goals, dreams, projects"
What They're Navigating,Long text,,"Challenges, decisions, problems"
What Lights Them Up,Long text,,"Passions, hobbies, interests"
Partner,Single line text,,Spouse/partner name
Kids,Long text,,"Names, ages, what they're into"
Inner Circle,Long text,,"Close friends, people they mention"
Who Influences Them,Long text,,"Mentors, people they look up to"
Communication Style,Single select,"Texter, Caller, In-Person, Email, Quick & Direct, Long Conversations",How they prefer to communicate
Best Time to Reach,Single line text,,When to contact them
Personality Notes,Long text,,"Introverted, extroverted, vibe"
Birthday,Date,,
Anniversary,Date,,
Other Important Dates,Long text,,"Kid birthdays, work anniversary"
Occupation,Single line text,,What they do
Company,Single line text,,Where they work
Industry,Single line text,,
Neighborhood,Single line text,,Where they live
Communities,Long text,,"Groups, clubs, churches, orgs"
Hangouts,Long text,,Where they spend time
How We Met,Long text,,The origin story
Introduced By,Link to People,,Who connected you
First Impression,Long text,,"What you noticed, what clicked"
Shared Experiences,Long text,,"Trips, meals, moments together"
Inside References,Long text,,"Jokes, stories only you two know"
Relationship Strength,Rating (1-5),,Connection depth
Trajectory,Single select,"Growing, Stable, Needs Attention, Fading, New",Direction of relationship
Last Real Connection,Date,,Last meaningful human moment
Connection Frequency,Single select,"Weekly, Monthly, Quarterly, Yearly, Sporadic",How often you connect
What We Talk About,Long text,,"Topics, themes"
Notes,Long text,,Running notes
Status,Single select,"New, Friend, Prospect, Customer, Repeat Customer, VIP, Dormant, Lost",Relationship status
Source,Single select,"Walk-in, Referral, Web, Social, Service, Event, Cold, Repeat",How they entered your world
Vehicle Interest,Single line text,,What vehicle they want
Budget,Currency,,Price range
Timeline,Single select,"Now, This Month, 2-3 Months, Researching, Not Looking",Purchase timeline
Tags,Multiple select,"Cash Buyer, Financing, Trade-In, Spanish, Fleet, Employee, Family, VIP, Referrer, Connector",Flexible tags
Created,Created time,,Auto
Last Modified,Last modified time,,Auto
