Field Name,Field Type,Options,Description
Stock Number,Single line text,,Primary identifier (PRIMARY FIELD)
VIN,Single line text,,
Year,Number,,
Make,Single line text,,
Model,Single line text,,
Trim,Single line text,,
Type,Single select,"New, Pre-Owned, Certified Pre-Owned",
Body Style,Single select,"Sedan, SUV, Truck, Coupe, Van, Hatchback, Wagon, Convertible",
Exterior Color,Single line text,,
Interior Color,Single line text,,
Mileage,Number,,
Fuel Type,Single select,"Gas, Hybrid, Electric, Plug-in Hybrid, Diesel",
Engine,Single line text,,
Transmission,Single select,"Automatic, Manual, CVT",
Drivetrain,Single select,"FWD, RWD, AWD, 4WD",
MSRP,Currency,,Sticker price
Internet Price,Currency,,Listed price
Invoice,Currency,,Dealer cost (new)
ACV,Currency,,Actual cash value (used)
Min Gross,Currency,,Floor for negotiation
Features,Long text,,Key features
Description,Long text,,Listing description
Image URL,URL,,Main photo
Listing URL,URL,,Website link
Status,Single select,"Available, Pending, Sold, Incoming, Hold",
Days on Lot,Number,,
Date Added,Date,,
Last Updated,Date and time,,
Sold Date,Date,,
Sold To,Link to People,,
Sold Price,Currency,,
